easter_offset,kirkenavn,folkenavn,dagsnavn,desc,icon,status,notes
-49,Quinquagesima,Halvfastes søndag,Quinquagesima,Søndag før fastetid.,🥞,thin,"Researched: SNL confirms it as the first of the 3 fastelavn days, but only 1 acceptable source found — stays proposed. See research/entries/moveable-feasts.json."
-48,Fastelavn – mandag,Blåmandag,Fastelavn-mandag,Fastelavnsfeiringen.,🎭,thin,"Researched: rich SNL content, but only 1 institution (SNL, 2 articles) — no second independent source found despite a targeted search. See research/entries/moveable-feasts.json."
-47,Fastelavn – tirsdag,Fettisdagen,Fettisdag,Siste dag før fasten. Man spiste fett mat.,🥐,thin,"Researched: single source (SNL) only — proposed. See research/entries/moveable-feasts.json."
-46,Askeonsdag,Askonsdag,Dies cinerum,Fastens første dag. Aska strykes i pannen.,⚫,solid,"Confirmed via SNL + Den norske kirke. See research/entries/moveable-feasts.json."
-14,Midfaste-søndag,Middfast,Lætare søndag,Fjerde søndag i fasten.,🌼,thin,"Researched: weak — no dedicated source found, only a passing kirken.no bible-text reference. Flagged for real follow-up research, not just a citation backfill. See research/entries/moveable-feasts.json."
-7,Palmesøndag,Palmasøndag,Palmarum,Jesu inntreden i Jerusalem.,🌿,solid,"Confirmed via SNL + Den norske kirke. See research/entries/moveable-feasts.json."
-3,Skjærtorsdag,Grønne torsdag,Cena Domini,Den siste nattverd.,🫙,solid,"Confirmed via SNL + Den norske kirke. See research/entries/moveable-feasts.json."
-2,Langfredag,Store fredag,Parasceve,Kristi korsfestelse og død.,✝️,solid,"Confirmed via SNL + Den norske kirke. See research/entries/moveable-feasts.json."
-1,Påskeaften,Påskaaftan,Sabbato sancto,Den stille lørdag. Lysvake.,🕯️,solid,"Confirmed via SNL + Den norske kirke. See research/entries/moveable-feasts.json."
0,Første påskedag,Påskedag,Resurrectio Domini,Kristi oppstandelse. Høytidenes høytid.,🥚,solid,"Confirmed via SNL + Den norske kirke. See research/entries/moveable-feasts.json."
1,Andre påskedag,Påskemåndag,Lunes Paschæ,Emmaus-vandringen.,🐣,solid,"Confirmed via SNL + Den norske kirke (general Easter-period sourcing rather than deeply dedicated to this specific day). See research/entries/moveable-feasts.json."
39,Kristi himmelfartsdag,Himmelfart,Ascensio,Kristus farer opp til himmelen.,☁️,solid,"Confirmed via SNL + Den norske kirke. See research/entries/moveable-feasts.json."
49,Pinsedag,Pinse,Pentecoste,Den Hellige Ånd. 50 dager etter påske.,🔥,solid,"Confirmed via SNL + Den norske kirke. See research/entries/moveable-feasts.json."
50,Andre pinsedag,Pinsemåndag,Lunes Pentecostes,Pinsefeiring fortsetter.,🕊️,thin,"Researched: no SNL or kirken.no source found, only holiday-aggregator sites that don't meet the sourcing standard — stays proposed. See research/entries/moveable-feasts.json."
56,Treenighetsdag,Trinitatis,Festum Trinitatis,Guds treenige natur feires.,△,solid,"Confirmed via 2 independent SNL articles (treenighetssøndag + primstav). See research/entries/moveable-feasts.json."
60,Kristi Legemsfest,Fronleichnam,Corpus Christi,Eukaristiens fest.,🍞,solid,"Confirmed via SNL + Den katolske kirke. See research/entries/moveable-feasts.json."
